Gene,Gene Identifier,Number of AT Sites,AT Coordinates
Putative transmembrane protein,RAST2:fig|442.17.peg.645,76,"3115140, 3115146, 3115158, 3115159, 3115163, 3115182, 3115183, 3115195, 3115204, 3115209, 3115220, 3115230, 3115231, 3115254, 3115261, 3115284, 3115289, 3115316, 3115332, 3115337, 3115338, 3115348, 3115383, 3115398, 3115425, 3115495, 3115502, 3115530, 3115568, 3115580, 3115581, 3115605, 3115612, 3115613, 3115666, 3115671, 3115679, 3115689, 3115718, 3115734, 3115746, 3115765, 3115766, 3115769, 3115770, 3115782, 3115802, 3115803, 3115808, 3115809, 3115825, 3115833, 3115876, 3115878, 3115881, 3115882, 3115937, 3115940, 3115941, 3115950, 3115951, 3115976, 3115998, 3116012, 3116016, 3116020, 3116034, 3116080, 3116153, 3116168, 3116174, 3116190, 3116192, 3116195, 3116196, 3116197"
Multiple polyol-specific dehydrogenase,RAST2:fig|442.17.peg.646,125,"3116357, 3116363, 3116375, 3116376, 3116380, 3116399, 3116400, 3116412, 3116421, 3116426, 3116437, 3116447, 3116448, 3116471, 3116478, 3116501, 3116506, 3116533, 3116549, 3116554, 3116555, 3116565, 3116600, 3116615, 3116642, 3116712, 3116719, 3116747, 3116785, 3116797, 3116798, 3116822, 3116829, 3116830, 3116883, 3116888, 3116896, 3116906, 3116935, 3116951, 3116963, 3116982, 3116983, 3116986, 3116987, 3116999, 3117019, 3117020, 3117025, 3117026, 3117042, 3117050, 3117093, 3117095, 3117098, 3117099, 3117154, 3117157, 3117158, 3117167, 3117168, 3117193, 3117215, 3117229, 3117233, 3117237, 3117251, 3117297, 3117370, 3117385, 3117391, 3117407, 3117409, 3117412, 3117413, 3117414, 3117415, 3117424, 3117440, 3117459, 3117460, 3117469, 3117470, 3117484, 3117490, 3117491, 3117493, 3117502, 3117505, 3117518, 3117522, 3117523, 3117542, 3117543, 3117547, 3117551, 3117552, 3117562, 3117563, 3117575, 3117578, 3117579, 3117587, 3117591, 3117592, 3117602, 3117613, 3117616, 3117623, 3117632, 3117634, 3117638, 3117643, 3117654, 3117665, 3117671, 3117681, 3117698, 3117706, 3117707, 3117723, 3117732, 3117759, 3117787, 3117788"
hypothetical protein,RAST2:fig|442.17.peg.647,34,"3117840, 3117846, 3117858, 3117859, 3117863, 3117882, 3117883, 3117895, 3117904, 3117909, 3117920, 3117930, 3117931, 3117954, 3117961, 3117984, 3117989, 3118016, 3118032, 3118037, 3118038, 3118048, 3118083, 3118098, 3118125, 3118195, 3118202, 3118230, 3118268, 3118280, 3118281, 3118305, 3118312, 3118313"
"Transcriptional regulator, ArsR family",RAST2:fig|442.17.peg.648,25,"3118472, 3118478, 3118490, 3118491, 3118495, 3118514, 3118515, 3118527, 3118536, 3118541, 3118552, 3118562, 3118563, 3118586, 3118593, 3118616, 3118621, 3118648, 3118664, 3118669, 3118670, 3118680, 3118715, 3118730, 3118757"
Transmembrane protein Msl3831,RAST2:fig|442.17.peg.649,15,"3118928, 3118934, 3118946, 3118947, 3118951, 3118970, 3118971, 3118983, 3118992, 3118997, 3119008, 3119018, 3119019, 3119042, 3119049"
DnaJ-like protein DjlA,RAST2:fig|442.17.peg.650,61,"3119155, 3119161, 3119173, 3119174, 3119178, 3119197, 3119198, 3119210, 3119219, 3119224, 3119235, 3119245, 3119246, 3119269, 3119276, 3119299, 3119304, 3119331, 3119347, 3119352, 3119353, 3119363, 3119398, 3119413, 3119440, 3119510, 3119517, 3119545, 3119583, 3119595, 3119596, 3119620, 3119627, 3119628, 3119681, 3119686, 3119694, 3119704, 3119733, 3119749, 3119761, 3119780, 3119781, 3119784, 3119785, 3119797, 3119817, 3119818, 3119823, 3119824, 3119840, 3119848, 3119891, 3119893, 3119896, 3119897, 3119952, 3119955, 3119956, 3119965, 3119966"
hypothetical protein,RAST2:fig|442.17.peg.651,25,"3120146, 3120152, 3120164, 3120165, 3120169, 3120188, 3120189, 3120201, 3120210, 3120215, 3120226, 3120236, 3120237, 3120260, 3120267, 3120290, 3120295, 3120322, 3120338, 3120343, 3120344, 3120354, 3120389, 3120404, 3120431"
hypothetical protein,RAST2:fig|442.17.peg.652,22,"3120499, 3120505, 3120517, 3120518, 3120522, 3120541, 3120542, 3120554, 3120563, 3120568, 3120579, 3120589, 3120590, 3120613, 3120620, 3120643, 3120648, 3120675, 3120691, 3120696, 3120697, 3120707"
Epoxyqueuosine reductase,RAST2:fig|442.17.peg.653,99,"3120726, 3120732, 3120744, 3120745, 3120749, 3120768, 3120769, 3120781, 3120790, 3120795, 3120806, 3120816, 3120817, 3120840, 3120847, 3120870, 3120875, 3120902, 3120918, 3120923, 3120924, 3120934, 3120969, 3120984, 3121011, 3121081, 3121088, 3121116, 3121154, 3121166, 3121167, 3121191, 3121198, 3121199, 3121252, 3121257, 3121265, 3121275, 3121304, 3121320, 3121332, 3121351, 3121352, 3121355, 3121356, 3121368, 3121388, 3121389, 3121394, 3121395, 3121411, 3121419, 3121462, 3121464, 3121467, 3121468, 3121523, 3121526, 3121527, 3121536, 3121537, 3121562, 3121584, 3121598, 3121602, 3121606, 3121620, 3121666, 3121739, 3121754, 3121760, 3121776, 3121778, 3121781, 3121782, 3121783, 3121784, 3121793, 3121809, 3121828, 3121829, 3121838, 3121839, 3121853, 3121859, 3121860, 3121862, 3121871, 3121874, 3121887, 3121891, 3121892, 3121911, 3121912, 3121916, 3121920, 3121921, 3121931, 3121932"
Adenosine deaminase,RAST2:fig|442.17.peg.654,128,"3121987, 3121993, 3122005, 3122006, 3122010, 3122029, 3122030, 3122042, 3122051, 3122056, 3122067, 3122077, 3122078, 3122101, 3122108, 3122131, 3122136, 3122163, 3122179, 3122184, 3122185, 3122195, 3122230, 3122245, 3122272, 3122342, 3122349, 3122377, 3122415, 3122427, 3122428, 3122452, 3122459, 3122460, 3122513, 3122518, 3122526, 3122536, 3122565, 3122581, 3122593, 3122612, 3122613, 3122616, 3122617, 3122629, 3122649, 3122650, 3122655, 3122656, 3122672, 3122680, 3122723, 3122725, 3122728, 3122729, 3122784, 3122787, 3122788, 3122797, 3122798, 3122823, 3122845, 3122859, 3122863, 3122867, 3122881, 3122927, 3123000, 3123015, 3123021, 3123037, 3123039, 3123042, 3123043, 3123044, 3123045, 3123054, 3123070, 3123089, 3123090, 3123099, 3123100, 3123114, 3123120, 3123121, 3123123, 3123132, 3123135, 3123148, 3123152, 3123153, 3123172, 3123173, 3123177, 3123181, 3123182, 3123192, 3123193, 3123205, 3123208, 3123209, 3123217, 3123221, 3123222, 3123232, 3123243, 3123246, 3123253, 3123262, 3123264, 3123268, 3123273, 3123284, 3123295, 3123301, 3123311, 3123328, 3123336, 3123337, 3123353, 3123362, 3123389, 3123417, 3123418, 3123451, 3123454, 3123462"
Purine nucleoside permease,RAST2:fig|442.17.peg.655,77,"3123480, 3123486, 3123498, 3123499, 3123503, 3123522, 3123523, 3123535, 3123544, 3123549, 3123560, 3123570, 3123571, 3123594, 3123601, 3123624, 3123629, 3123656, 3123672, 3123677, 3123678, 3123688, 3123723, 3123738, 3123765, 3123835, 3123842, 3123870, 3123908, 3123920, 3123921, 3123945, 3123952, 3123953, 3124006, 3124011, 3124019, 3124029, 3124058, 3124074, 3124086, 3124105, 3124106, 3124109, 3124110, 3124122, 3124142, 3124143, 3124148, 3124149, 3124165, 3124173, 3124216, 3124218, 3124221, 3124222, 3124277, 3124280, 3124281, 3124290, 3124291, 3124316, 3124338, 3124352, 3124356, 3124360, 3124374, 3124420, 3124493, 3124508, 3124514, 3124530, 3124532, 3124535, 3124536, 3124537, 3124538"
Mg,RAST2:fig|442.17.peg.656,56,"3124569, 3124575, 3124587, 3124588, 3124592, 3124611, 3124612, 3124624, 3124633, 3124638, 3124649, 3124659, 3124660, 3124683, 3124690, 3124713, 3124718, 3124745, 3124761, 3124766, 3124767, 3124777, 3124812, 3124827, 3124854, 3124924, 3124931, 3124959, 3124997, 3125009, 3125010, 3125034, 3125041, 3125042, 3125095, 3125100, 3125108, 3125118, 3125147, 3125163, 3125175, 3125194, 3125195, 3125198, 3125199, 3125211, 3125231, 3125232, 3125237, 3125238, 3125254, 3125262, 3125305, 3125307, 3125310, 3125311"
Queuine tRNA-ribosyltransferase,RAST2:fig|442.17.peg.657,92,"3125559, 3125565, 3125577, 3125578, 3125582, 3125601, 3125602, 3125614, 3125623, 3125628, 3125639, 3125649, 3125650, 3125673, 3125680, 3125703, 3125708, 3125735, 3125751, 3125756, 3125757, 3125767, 3125802, 3125817, 3125844, 3125914, 3125921, 3125949, 3125987, 3125999, 3126000, 3126024, 3126031, 3126032, 3126085, 3126090, 3126098, 3126108, 3126137, 3126153, 3126165, 3126184, 3126185, 3126188, 3126189, 3126201, 3126221, 3126222, 3126227, 3126228, 3126244, 3126252, 3126295, 3126297, 3126300, 3126301, 3126356, 3126359, 3126360, 3126369, 3126370, 3126395, 3126417, 3126431, 3126435, 3126439, 3126453, 3126499, 3126572, 3126587, 3126593, 3126609, 3126611, 3126614, 3126615, 3126616, 3126617, 3126626, 3126642, 3126661, 3126662, 3126671, 3126672, 3126686, 3126692, 3126693, 3126695, 3126704, 3126707, 3126720, 3126724, 3126725"
S-adenosylmethionine:tRNA ribosyltransferase-is,RAST2:fig|442.17.peg.658,70,"3126734, 3126740, 3126752, 3126753, 3126757, 3126776, 3126777, 3126789, 3126798, 3126803, 3126814, 3126824, 3126825, 3126848, 3126855, 3126878, 3126883, 3126910, 3126926, 3126931, 3126932, 3126942, 3126977, 3126992, 3127019, 3127089, 3127096, 3127124, 3127162, 3127174, 3127175, 3127199, 3127206, 3127207, 3127260, 3127265, 3127273, 3127283, 3127312, 3127328, 3127340, 3127359, 3127360, 3127363, 3127364, 3127376, 3127396, 3127397, 3127402, 3127403, 3127419, 3127427, 3127470, 3127472, 3127475, 3127476, 3127531, 3127534, 3127535, 3127544, 3127545, 3127570, 3127592, 3127606, 3127610, 3127614, 3127628, 3127674, 3127747, 3127762"
Uncharacterized dehydrogenase [pyrroloquinoline,RAST2:fig|442.17.peg.659,194,"3127868, 3127874, 3127886, 3127887, 3127891, 3127910, 3127911, 3127923, 3127932, 3127937, 3127948, 3127958, 3127959, 3127982, 3127989, 3128012, 3128017, 3128044, 3128060, 3128065, 3128066, 3128076, 3128111, 3128126, 3128153, 3128223, 3128230, 3128258, 3128296, 3128308, 3128309, 3128333, 3128340, 3128341, 3128394, 3128399, 3128407, 3128417, 3128446, 3128462, 3128474, 3128493, 3128494, 3128497, 3128498, 3128510, 3128530, 3128531, 3128536, 3128537, 3128553, 3128561, 3128604, 3128606, 3128609, 3128610, 3128665, 3128668, 3128669, 3128678, 3128679, 3128704, 3128726, 3128740, 3128744, 3128748, 3128762, 3128808, 3128881, 3128896, 3128902, 3128918, 3128920, 3128923, 3128924, 3128925, 3128926, 3128935, 3128951, 3128970, 3128971, 3128980, 3128981, 3128995, 3129001, 3129002, 3129004, 3129013, 3129016, 3129029, 3129033, 3129034, 3129053, 3129054, 3129058, 3129062, 3129063, 3129073, 3129074, 3129086, 3129089, 3129090, 3129098, 3129102, 3129103, 3129113, 3129124, 3129127, 3129134, 3129143, 3129145, 3129149, 3129154, 3129165, 3129176, 3129182, 3129192, 3129209, 3129217, 3129218, 3129234, 3129243, 3129270, 3129298, 3129299, 3129332, 3129335, 3129343, 3129411, 3129412, 3129413, 3129455, 3129464, 3129475, 3129479, 3129510, 3129511, 3129512, 3129531, 3129536, 3129606, 3129640, 3129654, 3129661, 3129664, 3129669, 3129677, 3129682, 3129717, 3129720, 3129742, 3129769, 3129827, 3129828, 3129829, 3129865, 3129890, 3129897, 3129914, 3129916, 3129946, 3129947, 3129948, 3129952, 3129970, 3129971, 3129981, 3129985, 3130012, 3130040, 3130051, 3130052, 3130057, 3130058, 3130079, 3130092, 3130101, 3130108, 3130115, 3130116, 3130118, 3130173, 3130188, 3130192, 3130193, 3130200, 3130210, 3130216, 3130232, 3130236, 3130249, 3130262, 3130265, 3130266"
hypothetical protein,RAST2:fig|442.17.peg.660,23,"3130418, 3130424, 3130436, 3130437, 3130441, 3130460, 3130461, 3130473, 3130482, 3130487, 3130498, 3130508, 3130509, 3130532, 3130539, 3130562, 3130567, 3130594, 3130610, 3130615, 3130616, 3130626, 3130661"
Nucleoside triphosphate pyrophosphohydrolase MazG,RAST2:fig|442.17.peg.661,56,"3130862, 3130868, 3130880, 3130881, 3130885, 3130904, 3130905, 3130917, 3130926, 3130931, 3130942, 3130952, 3130953, 3130976, 3130983, 3131006, 3131011, 3131038, 3131054, 3131059, 3131060, 3131070, 3131105, 3131120, 3131147, 3131217, 3131224, 3131252, 3131290, 3131302, 3131303, 3131327, 3131334, 3131335, 3131388, 3131393, 3131401, 3131411, 3131440, 3131456, 3131468, 3131487, 3131488, 3131491, 3131492, 3131504, 3131524, 3131525, 3131530, 3131531, 3131547, 3131555, 3131598, 3131600, 3131603, 3131604"
N-acetyl-gamma-glutamyl-phosphate reductase,RAST2:fig|442.17.peg.662,66,"3131819, 3131825, 3131837, 3131838, 3131842, 3131861, 3131862, 3131874, 3131883, 3131888, 3131899, 3131909, 3131910, 3131933, 3131940, 3131963, 3131968, 3131995, 3132011, 3132016, 3132017, 3132027, 3132062, 3132077, 3132104, 3132174, 3132181, 3132209, 3132247, 3132259, 3132260, 3132284, 3132291, 3132292, 3132345, 3132350, 3132358, 3132368, 3132397, 3132413, 3132425, 3132444, 3132445, 3132448, 3132449, 3132461, 3132481, 3132482, 3132487, 3132488, 3132504, 3132512, 3132555, 3132557, 3132560, 3132561, 3132616, 3132619, 3132620, 3132629, 3132630, 3132655, 3132677, 3132691, 3132695, 3132699"
Phosphoserine aminotransferase,RAST2:fig|442.17.peg.663,88,"3132931, 3132937, 3132949, 3132950, 3132954, 3132973, 3132974, 3132986, 3132995, 3133000, 3133011, 3133021, 3133022, 3133045, 3133052, 3133075, 3133080, 3133107, 3133123, 3133128, 3133129, 3133139, 3133174, 3133189, 3133216, 3133286, 3133293, 3133321, 3133359, 3133371, 3133372, 3133396, 3133403, 3133404, 3133457, 3133462, 3133470, 3133480, 3133509, 3133525, 3133537, 3133556, 3133557, 3133560, 3133561, 3133573, 3133593, 3133594, 3133599, 3133600, 3133616, 3133624, 3133667, 3133669, 3133672, 3133673, 3133728, 3133731, 3133732, 3133741, 3133742, 3133767, 3133789, 3133803, 3133807, 3133811, 3133825, 3133871, 3133944, 3133959, 3133965, 3133981, 3133983, 3133986, 3133987, 3133988, 3133989, 3133998, 3134014, 3134033, 3134034, 3134043, 3134044, 3134058, 3134064, 3134065, 3134067, 3134076"
ATP phosphoribosyltransferase regulatory subunit,RAST2:fig|442.17.peg.664,84,"3134085, 3134091, 3134103, 3134104, 3134108, 3134127, 3134128, 3134140, 3134149, 3134154, 3134165, 3134175, 3134176, 3134199, 3134206, 3134229, 3134234, 3134261, 3134277, 3134282, 3134283, 3134293, 3134328, 3134343, 3134370, 3134440, 3134447, 3134475, 3134513, 3134525, 3134526, 3134550, 3134557, 3134558, 3134611, 3134616, 3134624, 3134634, 3134663, 3134679, 3134691, 3134710, 3134711, 3134714, 3134715, 3134727, 3134747, 3134748, 3134753, 3134754, 3134770, 3134778, 3134821, 3134823, 3134826, 3134827, 3134882, 3134885, 3134886, 3134895, 3134896, 3134921, 3134943, 3134957, 3134961, 3134965, 3134979, 3135025, 3135098, 3135113, 3135119, 3135135, 3135137, 3135140, 3135141, 3135142, 3135143, 3135152, 3135168, 3135187, 3135188, 3135197, 3135198, 3135212"
Adenylosuccinate synthetase,RAST2:fig|442.17.peg.665,111,"3135278, 3135284, 3135296, 3135297, 3135301, 3135320, 3135321, 3135333, 3135342, 3135347, 3135358, 3135368, 3135369, 3135392, 3135399, 3135422, 3135427, 3135454, 3135470, 3135475, 3135476, 3135486, 3135521, 3135536, 3135563, 3135633, 3135640, 3135668, 3135706, 3135718, 3135719, 3135743, 3135750, 3135751, 3135804, 3135809, 3135817, 3135827, 3135856, 3135872, 3135884, 3135903, 3135904, 3135907, 3135908, 3135920, 3135940, 3135941, 3135946, 3135947, 3135963, 3135971, 3136014, 3136016, 3136019, 3136020, 3136075, 3136078, 3136079, 3136088, 3136089, 3136114, 3136136, 3136150, 3136154, 3136158, 3136172, 3136218, 3136291, 3136306, 3136312, 3136328, 3136330, 3136333, 3136334, 3136335, 3136336, 3136345, 3136361, 3136380, 3136381, 3136390, 3136391, 3136405, 3136411, 3136412, 3136414, 3136423, 3136426, 3136439, 3136443, 3136444, 3136463, 3136464, 3136468, 3136472, 3136473, 3136483, 3136484, 3136496, 3136499, 3136500, 3136508, 3136512, 3136513, 3136523, 3136534, 3136537, 3136544, 3136553, 3136555"
hypothetical protein,RAST2:fig|442.17.peg.666,154,"3136656, 3136662, 3136674, 3136675, 3136679, 3136698, 3136699, 3136711, 3136720, 3136725, 3136736, 3136746, 3136747, 3136770, 3136777, 3136800, 3136805, 3136832, 3136848, 3136853, 3136854, 3136864, 3136899, 3136914, 3136941, 3137011, 3137018, 3137046, 3137084, 3137096, 3137097, 3137121, 3137128, 3137129, 3137182, 3137187, 3137195, 3137205, 3137234, 3137250, 3137262, 3137281, 3137282, 3137285, 3137286, 3137298, 3137318, 3137319, 3137324, 3137325, 3137341, 3137349, 3137392, 3137394, 3137397, 3137398, 3137453, 3137456, 3137457, 3137466, 3137467, 3137492, 3137514, 3137528, 3137532, 3137536, 3137550, 3137596, 3137669, 3137684, 3137690, 3137706, 3137708, 3137711, 3137712, 3137713, 3137714, 3137723, 3137739, 3137758, 3137759, 3137768, 3137769, 3137783, 3137789, 3137790, 3137792, 3137801, 3137804, 3137817, 3137821, 3137822, 3137841, 3137842, 3137846, 3137850, 3137851, 3137861, 3137862, 3137874, 3137877, 3137878, 3137886, 3137890, 3137891, 3137901, 3137912, 3137915, 3137922, 3137931, 3137933, 3137937, 3137942, 3137953, 3137964, 3137970, 3137980, 3137997, 3138005, 3138006, 3138022, 3138031, 3138058, 3138086, 3138087, 3138120, 3138123, 3138131, 3138199, 3138200, 3138201, 3138243, 3138252, 3138263, 3138267, 3138298, 3138299, 3138300, 3138319, 3138324, 3138394, 3138428, 3138442, 3138449, 3138452, 3138457, 3138465, 3138470, 3138505, 3138508, 3138530, 3138557, 3138615, 3138616"
hypothetical protein,RAST2:fig|442.17.peg.667,31,"3138636, 3138642, 3138654, 3138655, 3138659, 3138678, 3138679, 3138691, 3138700, 3138705, 3138716, 3138726, 3138727, 3138750, 3138757, 3138780, 3138785, 3138812, 3138828, 3138833, 3138834, 3138844, 3138879, 3138894, 3138921, 3138991, 3138998, 3139026, 3139064, 3139076, 3139077"
Signal recognition particle receptor FtsY,RAST2:fig|442.17.peg.668,68,"3139132, 3139138, 3139150, 3139151, 3139155, 3139174, 3139175, 3139187, 3139196, 3139201, 3139212, 3139222, 3139223, 3139246, 3139253, 3139276, 3139281, 3139308, 3139324, 3139329, 3139330, 3139340, 3139375, 3139390, 3139417, 3139487, 3139494, 3139522, 3139560, 3139572, 3139573, 3139597, 3139604, 3139605, 3139658, 3139663, 3139671, 3139681, 3139710, 3139726, 3139738, 3139757, 3139758, 3139761, 3139762, 3139774, 3139794, 3139795, 3139800, 3139801, 3139817, 3139825, 3139868, 3139870, 3139873, 3139874, 3139929, 3139932, 3139933, 3139942, 3139943, 3139968, 3139990, 3140004, 3140008, 3140012, 3140026, 3140072"
tRNA t,RAST2:fig|442.17.peg.669,95,"3140152, 3140158, 3140170, 3140171, 3140175, 3140194, 3140195, 3140207, 3140216, 3140221, 3140232, 3140242, 3140243, 3140266, 3140273, 3140296, 3140301, 3140328, 3140344, 3140349, 3140350, 3140360, 3140395, 3140410, 3140437, 3140507, 3140514, 3140542, 3140580, 3140592, 3140593, 3140617, 3140624, 3140625, 3140678, 3140683, 3140691, 3140701, 3140730, 3140746, 3140758, 3140777, 3140778, 3140781, 3140782, 3140794, 3140814, 3140815, 3140820, 3140821, 3140837, 3140845, 3140888, 3140890, 3140893, 3140894, 3140949, 3140952, 3140953, 3140962, 3140963, 3140988, 3141010, 3141024, 3141028, 3141032, 3141046, 3141092, 3141165, 3141180, 3141186, 3141202, 3141204, 3141207, 3141208, 3141209, 3141210, 3141219, 3141235, 3141254, 3141255, 3141264, 3141265, 3141279, 3141285, 3141286, 3141288, 3141297, 3141300, 3141313, 3141317, 3141318, 3141337, 3141338, 3141342"
Diaminopimelate epimerase,RAST2:fig|442.17.peg.670,56,"3141351, 3141357, 3141369, 3141370, 3141374, 3141393, 3141394, 3141406, 3141415, 3141420, 3141431, 3141441, 3141442, 3141465, 3141472, 3141495, 3141500, 3141527, 3141543, 3141548, 3141549, 3141559, 3141594, 3141609, 3141636, 3141706, 3141713, 3141741, 3141779, 3141791, 3141792, 3141816, 3141823, 3141824, 3141877, 3141882, 3141890, 3141900, 3141929, 3141945, 3141957, 3141976, 3141977, 3141980, 3141981, 3141993, 3142013, 3142014, 3142019, 3142020, 3142036, 3142044, 3142087, 3142089, 3142092, 3142093"
hypothetical protein,RAST2:fig|442.17.peg.671,45,"3142209, 3142215, 3142227, 3142228, 3142232, 3142251, 3142252, 3142264, 3142273, 3142278, 3142289, 3142299, 3142300, 3142323, 3142330, 3142353, 3142358, 3142385, 3142401, 3142406, 3142407, 3142417, 3142452, 3142467, 3142494, 3142564, 3142571, 3142599, 3142637, 3142649, 3142650, 3142674, 3142681, 3142682, 3142735, 3142740, 3142748, 3142758, 3142787, 3142803, 3142815, 3142834, 3142835, 3142838, 3142839"
hypothetical protein,RAST2:fig|442.17.peg.672,14,"3142890, 3142896, 3142908, 3142909, 3142913, 3142932, 3142933, 3142945, 3142954, 3142959, 3142970, 3142980, 3142981, 3143004"
ATP-dependent RNA helicase Atu4171,RAST2:fig|442.17.peg.673,146,"3143022, 3143028, 3143040, 3143041, 3143045, 3143064, 3143065, 3143077, 3143086, 3143091, 3143102, 3143112, 3143113, 3143136, 3143143, 3143166, 3143171, 3143198, 3143214, 3143219, 3143220, 3143230, 3143265, 3143280, 3143307, 3143377, 3143384, 3143412, 3143450, 3143462, 3143463, 3143487, 3143494, 3143495, 3143548, 3143553, 3143561, 3143571, 3143600, 3143616, 3143628, 3143647, 3143648, 3143651, 3143652, 3143664, 3143684, 3143685, 3143690, 3143691, 3143707, 3143715, 3143758, 3143760, 3143763, 3143764, 3143819, 3143822, 3143823, 3143832, 3143833, 3143858, 3143880, 3143894, 3143898, 3143902, 3143916, 3143962, 3144035, 3144050, 3144056, 3144072, 3144074, 3144077, 3144078, 3144079, 3144080, 3144089, 3144105, 3144124, 3144125, 3144134, 3144135, 3144149, 3144155, 3144156, 3144158, 3144167, 3144170, 3144183, 3144187, 3144188, 3144207, 3144208, 3144212, 3144216, 3144217, 3144227, 3144228, 3144240, 3144243, 3144244, 3144252, 3144256, 3144257, 3144267, 3144278, 3144281, 3144288, 3144297, 3144299, 3144303, 3144308, 3144319, 3144330, 3144336, 3144346, 3144363, 3144371, 3144372, 3144388, 3144397, 3144424, 3144452, 3144453, 3144486, 3144489, 3144497, 3144565, 3144566, 3144567, 3144609, 3144618, 3144629, 3144633, 3144664, 3144665, 3144666, 3144685, 3144690, 3144760, 3144794, 3144808, 3144815, 3144818, 3144823"
